Time Stamp,ID,Extended,Dir,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2.907600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
2.908950,0x06F,0,0,8,0xEB,0x13,0x0F,0x4A,0xF9,0x59,0xD0,0x81
3.101750,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.102950,0x06F,0,0,8,0xE1,0x6B,0x2F,0xCA,0x0E,0xE2,0xCF,0x7F
3.299600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.300850,0x06F,0,0,8,0xF9,0x23,0x2F,0xCA,0xFB,0x75,0xB0,0x82
3.499850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.500800,0x06F,0,0,8,0xD3,0x7B,0xCF,0x48,0x40,0xBE,0x30,0x87
3.693850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.694800,0x06F,0,0,8,0xCB,0x03,0x30,0xC9,0xE1,0x79,0x0F,0x7C
3.889350,0x06F,0,0,8,0xD9,0xA3,0xAF,0x49,0xFA,0x65,0xEF,0x83
3.890000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.087850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.088800,0x06F,0,0,8,0xD1,0xC3,0x8F,0xC9,0x11,0xA2,0xCF,0x84
4.285850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.286800,0x06F,0,0,8,0xD1,0xBB,0xAF,0x49,0xDA,0xA1,0xCF,0x7F
4.483850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.484800,0x06F,0,0,8,0xD1,0x13,0x90,0x48,0x02,0xEE,0x8F,0x83
4.681850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.682800,0x06F,0,0,8,0xD3,0xAB,0xAF,0x49,0xFC,0xAD,0x0F,0x7E
4.879850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.880950,0x06F,0,0,8,0xE5,0xE3,0x0E,0x49,0xDD,0x95,0x0F,0x82
5.077350,0x06F,0,0,8,0xE9,0x5B,0x4F,0xCA,0xF5,0xF9,0x2F,0x84
5.078000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.275350,0x06F,0,0,8,0xD1,0xD3,0x8F,0xC8,0xE5,0xE9,0xEF,0x7C
5.276000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.473900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.474800,0x06F,0,0,8,0xDB,0x4B,0xAF,0x49,0xF3,0x45,0xB0,0x7B
5.671900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.672000,0x06F,0,0,8,0xDF,0x53,0xCF,0x48,0x11,0xDA,0x2F,0x7E
