timestamp,bus_channel,can_id,ide,dlc,data_length,data_bytes,direction,data_hex,can_id_hex,source
0.9902500000000001,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000003
0.99045,9.0,111,0.0,8,8.0,[149 228 239  66 255 253 239 127],0.0,95 E4 EF 42 FF FD EF 7F,0x06F,00000004
0.9910999999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000004
0.9914000000000001,9.0,111,0.0,8,8.0,[121 124  46  67 206 245  77 117],0.0,79 7C 2E 43 CE F5 4D 75,0x06F,00000003
1.1802499999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000002
1.1812,9.0,111,0.0,8,8.0,[209 195 143 201  17 162 207 132],0.0,D1 C3 8F C9 11 A2 CF 84,0x06F,00000002
1.1862499999999998,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000005
1.1872000000000003,9.0,111,0.0,8,8.0,[ 59 172 173 191 124  98  20 130],0.0,3B AC AD BF 7C 62 14 82,0x06F,00000005
1.18825,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000003
1.1885,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000004
1.1892000000000005,9.0,111,0.0,8,8.0,[113 132  78  66 150  85 143 135],0.0,71 84 4E 42 96 55 8F 87,0x06F,00000003
1.1894500000000003,9.0,111,0.0,8,8.0,[149 228 239 194 254 253 239 127],0.0,95 E4 EF C2 FE FD EF 7F,0x06F,00000004
1.37825,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000002
1.3791999999999995,9.0,111,0.0,8,8.0,[209 187 175  73 218 161 207 127],0.0,D1 BB AF 49 DA A1 CF 7F,0x06F,00000002
1.3842500000000002,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000005
1.3851999999999998,9.0,111,0.0,8,8.0,[ 59 164  77  64 112 218  52 123],0.0,3B A4 4D 40 70 DA 34 7B,0x06F,00000005
1.3862500000000004,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000003
1.3865000000000003,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000004
1.3872,9.0,111,0.0,8,8.0,[119  68  78 193 212  81 110 135],0.0,77 44 4E C1 D4 51 6E 87,0x06F,00000003
1.3874499999999999,9.0,111,0.0,8,8.0,[147 228  15  67 255 253 239 127],0.0,93 E4 0F 43 FF FD EF 7F,0x06F,00000004
1.5762499999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000002
1.5772,9.0,111,0.0,8,8.0,[209  19 144  72   2 238 143 131],0.0,D1 13 90 48 02 EE 8F 83,0x06F,00000002
1.5822499999999997,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000005
1.5832000000000002,9.0,111,0.0,8,8.0,[ 69 164 109  66  17 130 242 129],0.0,45 A4 6D 42 11 82 F2 81,0x06F,00000005
1.58425,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000003
1.5844999999999998,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000004
1.5852000000000004,9.0,111,0.0,8,8.0,[111  60 174 193 243  37 210 127],0.0,6F 3C AE C1 F3 25 D2 7F,0x06F,00000003
1.5854500000000002,9.0,111,0.0,8,8.0,[147 228 239 194 254 253 239 127],0.0,93 E4 EF C2 FE FD EF 7F,0x06F,00000004
1.7742499999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000002
1.7751999999999994,9.0,111,0.0,8,8.0,[211 171 175  73 252 173  15 126],0.0,D3 AB AF 49 FC AD 0F 7E,0x06F,00000002
1.78025,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000005
1.7811999999999997,9.0,111,0.0,8,8.0,[ 55 236  77 194  33 106 113 135],0.0,37 EC 4D C2 21 6A 71 87,0x06F,00000005
1.7822500000000003,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000003
1.7825000000000002,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000004
1.7832,9.0,111,0.0,8,8.0,[113  68 174 192 227 121  14 131],0.0,71 44 AE C0 E3 79 0E 83,0x06F,00000003
1.7834499999999998,9.0,111,0.0,8,8.0,[147 228  15 195 254 249 207 127],0.0,93 E4 0F C3 FE F9 CF 7F,0x06F,00000004
1.9722499999999994,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0,00 00 00 00 00 00 00 00,0x065,00000002
1.9733499999999995,9.0,111,0.0,8,8.0,[229 227  14  73 221 149  15 130],0.0,E5 E3 0E 49 DD 95 0F 82,0x06F,00000002
