timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir
229.00865199999998,9.0,103,0.0,8,8.0,[141  34 138 144  81  52 109   9],0.0
229.00865299999998,9.0,104,0.0,4,4.0,[151 245  25   0   0   0   0   0],0.0
229.00865399999998,9.0,107,0.0,5,5.0,[ 39  59 160  37   0   0   0   0],0.0
229.206,9.0,111,0.0,8,8.0,[141 180 175 196 254 253 207 127],0.0
229.20669999999998,9.0,101,0.0,1,1.0,[67  0  0  0  0  0  0  0],0.0
229.20670099999998,9.0,102,0.0,6,6.0,[  3 167  84  49  84  45   0   0],0.0
229.20670199999998,9.0,103,0.0,8,8.0,[157  34 138 112  79  52 109   9],0.0
229.20670299999998,9.0,104,0.0,4,4.0,[151 245  25   0   0   0   0   0],0.0
229.206704,9.0,107,0.0,5,5.0,[173  57 192  37   0   0   0   0],0.0
229.40404999999998,9.0,111,0.0,8,8.0,[153 188  15  69 255 253 111 127],0.0
229.4048,9.0,101,0.0,1,1.0,[67  0  0  0  0  0  0  0],0.0
229.404801,9.0,102,0.0,6,6.0,[  3 111  85  49  84  45   0   0],0.0
229.404802,9.0,103,0.0,8,8.0,[171  34 138 112  77  52 109   9],0.0
229.404803,9.0,104,0.0,4,4.0,[153 245  25   0   0   0   0   0],0.0
229.40480399999998,9.0,107,0.0,5,5.0,[123  54 224  45   0   0   0   0],0.0
229.60205,9.0,111,0.0,8,8.0,[137 188  47 196 253   9  16 128],0.0
229.6028,9.0,101,0.0,1,1.0,[67  0  0  0  0  0  0  0],0.0
229.602801,9.0,102,0.0,6,6.0,[ 3 55 86 49 84 45  0  0],0.0
229.602802,9.0,103,0.0,8,8.0,[183  34 138 112  75  52 109   9],0.0
229.602803,9.0,104,0.0,4,4.0,[151 245  25   0   0   0   0   0],0.0
229.602804,9.0,107,0.0,5,5.0,[ 15  55 128  50   0   0   0   0],0.0
229.80005,9.0,111,0.0,8,8.0,[141 180 207 196 253 241 207 127],0.0
229.80089999999998,9.0,101,0.0,1,1.0,[67  0  0  0  0  0  0  0],0.0
229.80090099999998,9.0,102,0.0,6,6.0,[  3 255  86  49  84  45   0   0],0.0
229.80090199999998,9.0,103,0.0,8,8.0,[199  34 138 112  73  52 109   9],0.0
229.80090299999998,9.0,104,0.0,4,4.0,[151 245  25   0   0   0   0   0],0.0
229.800904,9.0,107,0.0,5,5.0,[121  55 224  44   0   0   0   0],0.0
229.80374999999998,9.0,106,0.0,3,3.0,[127   1   0   0   0   0   0   0],0.0
229.99804999999998,9.0,111,0.0,8,8.0,[137 172  79 196 253 241  79 128],0.0
