Time Stamp,ID,Extended,Dir,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2.889350,0x06F,0,0,8,0xA5,0x14,0x70,0x43,0x14,0xCA,0x4F,0x6C
3.087850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.089000,0x06F,0,0,8,0x95,0xFC,0x0F,0xC3,0x00,0x8E,0x4F,0x7E
3.295600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.296850,0x06F,0,0,8,0x93,0xE4,0xEF,0x42,0xFE,0xFD,0xEF,0x7F
3.495850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.496850,0x06F,0,0,8,0x93,0xE4,0x0F,0x43,0xFF,0xFD,0xEF,0x7F
3.683950,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.684950,0x06F,0,0,8,0x93,0xE4,0x0F,0x43,0xFF,0xFD,0xEF,0x7F
3.879800,0x06F,0,0,8,0x95,0xE4,0xEF,0x42,0xFF,0xFD,0xEF,0x7F
3.880450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.077850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.078800,0x06F,0,0,8,0x95,0xE4,0xEF,0xC2,0xFE,0xFD,0xEF,0x7F
4.275850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.276800,0x06F,0,0,8,0x93,0xE4,0x0F,0x43,0xFF,0xFD,0xEF,0x7F
4.473850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.474800,0x06F,0,0,8,0x93,0xE4,0xEF,0xC2,0xFE,0xFD,0xEF,0x7F
4.671850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.672800,0x06F,0,0,8,0x93,0xE4,0x0F,0xC3,0xFE,0xF9,0xCF,0x7F
4.869850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.870950,0x06F,0,0,8,0x93,0xE4,0x0F,0xC3,0xFF,0xFD,0xEF,0x7F
5.067400,0x06F,0,0,8,0x93,0xE4,0xEF,0x42,0xFE,0xF9,0xCF,0x7F
5.068000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.265400,0x06F,0,0,8,0x95,0xDC,0x0F,0x43,0xFF,0xFD,0x0F,0x80
5.266000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.463850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.464800,0x06F,0,0,8,0x95,0xE4,0xEF,0xC2,0xFE,0xF9,0xAF,0x7F
5.661850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.662000,0x06F,0,0,8,0x93,0xE4,0x0F,0xC3,0xFF,0xFD,0x0F,0x80
5.859850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.860950,0x06F,0,0,8,0x93,0xEC,0xEF,0x42,0x00,0xFE,0xEF,0x7F
6.057850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.058850,0x06F,0,0,8,0x95,0xE4,0xEF,0x42,0xFE,0xFD,0xCF,0x7F
6.255350,0x06F,0,0,8,0x95,0xE4,0x2F,0xC3,0xFE,0xFD,0x0F,0x80
6.256050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.453400,0x06F,0,0,8,0x95,0xE4,0xEF,0x42,0xFF,0xFD,0xEF,0x7F
6.454050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.651900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.652850,0x06F,0,0,8,0x97,0xE4,0x2F,0xC3,0x01,0xF6,0xCF,0x7F
6.849400,0x06F,0,0,8,0x95,0xE4,0xCF,0xC2,0xFA,0xFD,0xCF,0x7F
6.850050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.047400,0x06F,0,0,8,0x93,0xE4,0x0F,0xC3,0x00,0xFE,0x0F,0x80
7.048050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.245900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.246050,0x06F,0,0,8,0x9F,0x0C,0xB0,0xC0,0x21,0xFE,0xAF,0x82
7.443400,0x06F,0,0,8,0x99,0x14,0x90,0x41,0x62,0xF6,0x0F,0x87
7.444050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.641400,0x06F,0,0,8,0x99,0x34,0x30,0x42,0x8D,0xFA,0x6F,0x8A
7.642050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.839400,0x06F,0,0,8,0x9F,0x24,0xF0,0xC3,0x9C,0xFE,0x4F,0x8B
7.840050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.037400,0x06F,0,0,8,0x8F,0x3C,0x70,0xC2,0x7E,0xFE,0xCF,0x88
8.038050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.235400,0x06F,0,0,8,0x6F,0x3C,0x50,0x5F,0x74,0xFE,0x0F,0x89
8.236050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.433400,0x06F,0,0,8,0x89,0xF4,0x8F,0x44,0xFE,0x51,0xD0,0x7F
8.434050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.631400,0x06F,0,0,8,0x8D,0xFC,0xEF,0xC3,0xFE,0x15,0xD0,0x7F
8.632050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.829400,0x06F,0,0,8,0x8D,0xF4,0xEF,0x43,0xFF,0x01,0xF0,0x7F
8.830050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
9.027400,0x06F,0,0,8,0x8F,0xF4,0xEF,0x43,0xFF,0xFD,0xEF,0x7F
9.028100,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
9.225450,0x06F,0,0,8,0x8D,0xF4,0x0F,0x44,0xFF,0xFD,0xEF,0x7F
