Time Stamp,ID,Extended,Dir,DLC,D1,D2,D3,D4,D5,D6,D7,D8
42.097250,0x06F,0,0,8,0xB9,0x93,0x90,0xB7,0xFE,0xF5,0xEF,0x7F
42.294050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
42.295250,0x06F,0,0,8,0xB9,0x93,0xB0,0xB7,0xFE,0xF5,0xEF,0x7F
42.492300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
42.493250,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFF,0x01,0xF0,0x7F
42.690300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
42.691250,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFF,0xFD,0xEF,0x7F
42.887800,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFF,0xFD,0xEF,0x7F
42.888450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
43.086300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
43.087300,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0xF9,0xEF,0x7F
43.284300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
43.285300,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0xFD,0xEF,0x7F
43.482100,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
43.483300,0x06F,0,0,8,0xB9,0x93,0xB0,0xB7,0xFE,0xF9,0xEF,0x7F
43.680300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
43.681250,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0xFD,0xEF,0x7F
43.878350,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
43.879450,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFE,0x01,0xF0,0x7F
44.075850,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0x00,0xF2,0xEF,0x7F
44.076500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
44.274300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
44.275300,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0xFD,0xEF,0x7F
44.472300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
44.473300,0x06F,0,0,8,0xB9,0x93,0x90,0xB7,0xFE,0x01,0xF0,0x7F
44.670300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
44.670450,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFE,0xF5,0xEF,0x7F
44.868300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
44.869400,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0xFD,0xEF,0x7F
45.066300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
45.067300,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0x01,0xF0,0x7F
45.263850,0x06F,0,0,8,0xB9,0x93,0x90,0xB7,0xFE,0xF9,0xEF,0x7F
45.264500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
45.461850,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0x01,0xF0,0x7F
45.462500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
45.660350,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
45.661300,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFE,0xF5,0xEF,0x7F
45.857850,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0xFD,0xEF,0x7F
45.858500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
46.055850,0x06F,0,0,8,0xB9,0x93,0x90,0xB7,0xFE,0xF9,0xEF,0x7F
46.056500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
46.253900,0x06F,0,0,8,0xB9,0x93,0x90,0xB7,0xFE,0xF9,0xEF,0x7F
46.254500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
46.451850,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0x00,0x02,0xF0,0x7F
46.452650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
46.649850,0x06F,0,0,8,0xB9,0x93,0x90,0xB7,0xFD,0xF5,0xEF,0x7F
46.650650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
46.847850,0x06F,0,0,8,0xB9,0x93,0xB0,0xB7,0xFE,0xF5,0xEF,0x7F
46.848700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
47.045850,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFF,0xF9,0xEF,0x7F
47.046750,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
47.243850,0x06F,0,0,8,0xB9,0x93,0xB0,0xB7,0xFE,0xF9,0xEF,0x7F
47.244750,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
47.441850,0x06F,0,0,8,0xB9,0x9B,0x90,0xB7,0xFE,0xF9,0xEF,0x7F
47.442650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
47.639900,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFF,0xFD,0xCF,0x7F
47.640650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
47.837900,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFF,0xF9,0xEF,0x7F
47.838650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
48.035900,0x06F,0,0,8,0xB9,0x93,0x90,0x37,0xFF,0x01,0xF0,0x7F
48.036900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
48.233900,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFE,0xF9,0xEF,0x7F
48.234750,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
48.431900,0x06F,0,0,8,0xB9,0x93,0x90,0xB7,0xFE,0xFD,0xEF,0x7F
48.432750,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
48.629900,0x06F,0,0,8,0xB9,0x9B,0xB0,0x37,0xFF,0x01,0xF0,0x7F
48.630900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
48.827900,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFE,0xFD,0xCF,0x7F
48.828650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
49.025900,0x06F,0,0,8,0xB9,0x93,0xB0,0xB7,0xFE,0xED,0xEF,0x7F
49.026900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
49.223900,0x06F,0,0,8,0xB7,0x93,0xB0,0x37,0xFF,0xF5,0xEF,0x7F
49.224900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
49.422250,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFF,0xF5,0xEF,0x7F
49.422900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
49.620050,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0xFE,0xF1,0xEF,0x7F
49.620650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
49.817900,0x06F,0,0,8,0xB7,0x93,0xB0,0xB7,0xFE,0xF1,0x0F,0x80
49.818900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
50.015900,0x06F,0,0,8,0xB7,0x93,0xB0,0x37,0xFF,0x01,0xF0,0x7F
50.016700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
50.213900,0x06F,0,0,8,0xB7,0x9B,0x90,0xB7,0xFF,0x05,0xF0,0x7F
50.214900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
50.411900,0x06F,0,0,8,0xB7,0x9B,0xB0,0x37,0xFE,0xFD,0xEF,0x7F
50.412900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
50.609900,0x06F,0,0,8,0xB7,0x9B,0xB0,0xB7,0xFF,0x09,0xF0,0x7F
50.610950,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
50.807900,0x06F,0,0,8,0xB9,0x93,0xB0,0x37,0x00,0x0E,0xF0,0x7F
50.808950,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
51.005900,0x06F,0,0,8,0xB9,0x9B,0x90,0x37,0xFC,0xFD,0x6F,0x7F
51.006950,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
51.203900,0x06F,0,0,8,0xB7,0x93,0xB0,0x37,0xFE,0xF9,0x4F,0x7F
51.204950,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
