timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir
48.0359,9.0,111,0.0,8,8.0,[185 147 144  55 255   1 240 127],0.0
48.036899999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
48.2339,9.0,111,0.0,8,8.0,[185 147 176  55 254 249 239 127],0.0
48.23475,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
48.4319,9.0,111,0.0,8,8.0,[185 147 144 183 254 253 239 127],0.0
48.43275,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
48.6299,9.0,111,0.0,8,8.0,[185 155 176  55 255   1 240 127],0.0
48.6309,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
48.8279,9.0,111,0.0,8,8.0,[185 147 176  55 254 253 207 127],0.0
48.828649999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
49.0259,9.0,111,0.0,8,8.0,[185 147 176 183 254 237 239 127],0.0
49.0269,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
49.2239,9.0,111,0.0,8,8.0,[183 147 176  55 255 245 239 127],0.0
49.2249,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
49.42225,9.0,111,0.0,8,8.0,[185 147 176  55 255 245 239 127],0.0
49.4229,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
49.62005,9.0,111,0.0,8,8.0,[185 147 176  55 254 241 239 127],0.0
49.62065,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
49.817899999999995,9.0,111,0.0,8,8.0,[183 147 176 183 254 241  15 128],0.0
49.8189,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
50.015899999999995,9.0,111,0.0,8,8.0,[183 147 176  55 255   1 240 127],0.0
50.0167,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
50.213899999999995,9.0,111,0.0,8,8.0,[183 155 144 183 255   5 240 127],0.0
50.2149,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
50.411899999999996,9.0,111,0.0,8,8.0,[183 155 176  55 254 253 239 127],0.0
50.4129,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
50.609899999999996,9.0,111,0.0,8,8.0,[183 155 176 183 255   9 240 127],0.0
50.610949999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
50.8079,9.0,111,0.0,8,8.0,[185 147 176  55   0  14 240 127],0.0
50.808949999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
51.0059,9.0,111,0.0,8,8.0,[185 155 144  55 252 253 111 127],0.0
51.006949999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
51.2039,9.0,111,0.0,8,8.0,[183 147 176  55 254 249  79 127],0.0
51.20495,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
51.4019,9.0,111,0.0,8,8.0,[181 155 176  55 248 181 207 127],0.0
51.402899999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
51.5999,9.0,111,0.0,8,8.0,[183 155 240  55 254 245 143 127],0.0
51.600899999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
51.7979,9.0,111,0.0,8,8.0,[181 155 176  55 255 253 239 127],0.0
51.798899999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
51.99595,9.0,111,0.0,8,8.0,[181 163 208  55 255 253 239 127],0.0
51.997049999999994,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
52.19395,9.0,111,0.0,8,8.0,[181 155 208  55   0 254 239 127],0.0
52.19495,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
52.391949999999994,9.0,111,0.0,8,8.0,[181 155 176  55 255 249 239 127],0.0
52.590199999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
52.59155,9.0,111,0.0,8,8.0,[181 155 176 183 254 253 239 127],0.0
52.788199999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
52.78955,9.0,111,0.0,8,8.0,[181 155 176 183 255 253 239 127],0.0
52.9862,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
52.9877,9.0,111,0.0,8,8.0,[181 155 176  55 255 249 239 127],0.0
53.1842,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
53.18555,9.0,111,0.0,8,8.0,[181 155 208 183 254 245 239 127],0.0
53.3822,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
53.38355,9.0,111,0.0,8,8.0,[181 155 208  55   0   2 240 127],0.0
53.5802,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
53.58155,9.0,111,0.0,8,8.0,[181 155 208 183 254 249 239 127],0.0
53.77845,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
53.77955,9.0,111,0.0,8,8.0,[181 155 208  55 253 225 207 127],0.0
53.97625,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
53.9777,9.0,111,0.0,8,8.0,[181 163 208 183   0 254 207 127],0.0
54.1742,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
54.175549999999994,9.0,111,0.0,8,8.0,[181 155 208  55 255 241 239 127],0.0
54.3722,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
54.373549999999994,9.0,111,0.0,8,8.0,[181 155 240 183 254   5 240 127],0.0
54.57045,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
54.571549999999995,9.0,111,0.0,8,8.0,[179 155 208  55 254 245 239 127],0.0
54.7682,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
54.7696,9.0,111,0.0,8,8.0,[179 155 208 183 255 249 239 127],0.0
54.966449999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
54.9677,9.0,111,0.0,8,8.0,[181 155 208 183   0   6 240 127],0.0
55.1642,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
55.1656,9.0,111,0.0,8,8.0,[181 155 208 183 255   1 240 127],0.0
55.362249999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
55.3636,9.0,111,0.0,8,8.0,[181 155 208 183 254 253 239 127],0.0
55.560449999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
55.5616,9.0,111,0.0,8,8.0,[181 155 208 183   0   2  16 128],0.0
55.758449999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
55.7596,9.0,111,0.0,8,8.0,[181 155 208 183 255   9 240 127],0.0
55.95645,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
55.95775,9.0,111,0.0,8,8.0,[181 155 208  55 255  13 240 127],0.0
56.1545,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
56.156,9.0,111,0.0,8,8.0,[183 155 208  55 255  13 240 127],0.0
56.3525,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
56.3536,9.0,111,0.0,8,8.0,[183 155 176  55   0  14 240 127],0.0
56.55025,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
