Time Stamp,ID,Extended,Dir,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2.889600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
2.890950,0x06F,0,0,8,0x81,0x1C,0x2F,0xC5,0xF7,0x09,0xB0,0x84
3.087850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.088850,0x06F,0,0,8,0x4D,0x94,0xAF,0xC2,0xCF,0x95,0x90,0x6B
3.301600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.302850,0x06F,0,0,8,0x8B,0xFC,0x8E,0x43,0x95,0x61,0x6F,0x7E
3.485850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.486850,0x06F,0,0,8,0x73,0xF4,0x8E,0x43,0xF8,0x3D,0xF2,0x7F
3.697900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.698900,0x06F,0,0,8,0x63,0xE4,0x2E,0xC1,0x50,0x55,0x71,0x7D
3.879850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.881000,0x06F,0,0,8,0x79,0x7C,0x2E,0x43,0xCE,0xF5,0x4D,0x75
4.077850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.078800,0x06F,0,0,8,0x71,0x84,0x4E,0x42,0x96,0x55,0x8F,0x87
4.275850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.276800,0x06F,0,0,8,0x77,0x44,0x4E,0xC1,0xD4,0x51,0x6E,0x87
4.473850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.474800,0x06F,0,0,8,0x6F,0x3C,0xAE,0xC1,0xF3,0x25,0xD2,0x7F
4.671850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.672800,0x06F,0,0,8,0x71,0x44,0xAE,0xC0,0xE3,0x79,0x0E,0x83
4.869850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.870950,0x06F,0,0,8,0x73,0x74,0x8E,0xC1,0x04,0xA6,0xF2,0x87
5.067400,0x06F,0,0,8,0x61,0x14,0x4E,0xC1,0xE3,0x71,0x4C,0x7F
5.068000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.265400,0x06F,0,0,8,0x6B,0xFC,0x0D,0xC1,0x0C,0x1A,0x6F,0x89
5.266000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.463850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.464800,0x06F,0,0,8,0x6B,0x44,0xAE,0xBF,0xE1,0xCD,0xCE,0x7D
5.661850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.662000,0x06F,0,0,8,0x79,0x5C,0xCE,0x3F,0x0A,0xF6,0x2F,0x80
5.859850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.860950,0x06F,0,0,8,0x6B,0x44,0x8E,0x3F,0x02,0x3A,0x30,0x79
6.057850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.058850,0x06F,0,0,8,0x6F,0x64,0x0E,0xBF,0xDB,0xBD,0xD0,0x91
6.255350,0x06F,0,0,8,0x61,0x2C,0x0E,0x3F,0xF6,0xB1,0x2E,0x84
6.256050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.453400,0x06F,0,0,8,0x71,0x34,0x4E,0x3F,0x11,0xDE,0x4F,0x81
6.454050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.651900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.652850,0x06F,0,0,8,0x6D,0x0C,0xCE,0x40,0x09,0x66,0xB0,0x84
6.849400,0x06F,0,0,8,0x63,0x34,0x0E,0xBD,0x03,0x12,0xC9,0x8C
6.850050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.047400,0x06F,0,0,8,0x71,0x3C,0x0E,0x41,0xF9,0x0D,0x11,0x81
7.048050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.245900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.246050,0x06F,0,0,8,0x65,0x2C,0x2E,0x40,0x04,0x86,0xF0,0x7A
7.443400,0x06F,0,0,8,0x6F,0x4C,0x8E,0xBF,0xC2,0x8D,0xB0,0x7C
7.444050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.641400,0x06F,0,0,8,0x73,0x14,0xCE,0x3F,0x17,0xDA,0x11,0x81
7.642050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.839400,0x06F,0,0,8,0x73,0x54,0x6E,0xC3,0xB2,0xB2,0xF1,0x64
7.840050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
