Nummer,Parameter,Relevant,dtype,Kommentar
149,VOLTAGE_CELL_071,y,float32,
150,VOLTAGE_CELL_072,y,float32,
151,VOLTAGE_CELL_073,y,float32,
152,VOLTAGE_CELL_074,y,float32,
153,VOLTAGE_CELL_075,y,float32,
154,VOLTAGE_CELL_076,y,float32,
155,VOLTAGE_CELL_077,y,float32,
156,VOLTAGE_CELL_078,y,float32,
157,VOLTAGE_CELL_079,y,float32,
158,VOLTAGE_CELL_080,y,float32,
159,VOLTAGE_CELL_081,y,float32,
160,VOLTAGE_CELL_082,y,float32,
161,VOLTAGE_CELL_083,y,float32,
162,VOLTAGE_CELL_084,y,float32,
163,VOLTAGE_CELL_085,y,float32,
164,VOLTAGE_CELL_086,y,float32,
165,VOLTAGE_CELL_087,y,float32,
166,VOLTAGE_CELL_088,y,float32,
167,VOLTAGE_CELL_089,y,float32,
168,VOLTAGE_CELL_090,y,float32,
169,VOLTAGE_CELL_091,y,float32,
170,VOLTAGE_CELL_092,y,float32,
171,VOLTAGE_CELL_093,y,float32,
172,VOLTAGE_CELL_094,y,float32,
173,VOLTAGE_CELL_095,y,float32,
174,VOLTAGE_CELL_096,y,float32,
175,VOLTAGE_CELL_097,y,float32,
176,VOLTAGE_CELL_098,y,float32,
177,VOLTAGE_CELL_099,y,float32,
178,VOLTAGE_CELL_100,y,float32,
179,VOLTAGE_CELL_101,y,float32,
180,VOLTAGE_CELL_102,y,float32,
181,VOLTAGE_CELL_103,y,float32,
182,VOLTAGE_CELL_104,y,float32,
183,VOLTAGE_CELL_105,y,float32,
184,VOLTAGE_CELL_106,y,float32,
185,VOLTAGE_CELL_107,y,float32,
186,VOLTAGE_CELL_108,y,float32,
187,VOLTAGE_CELL_MAX,y,float32,
188,VOLTAGE_CELL_MAX_NUMBER,y,float32,
189,VOLTAGE_CELL_MIN,y,float32,
190,VOLTAGE_CELL_MIN_MUMBER,y,float32,
191,VOLTAGE_CONN,y,float32,
192,VOLTAGE_KLIMA_COMPRESSOR,n,float32,
