kind,sid,length,raw_bytes,timestamp,raw_hex,session,pid,value_bytes,pid_name,pid_unit,pid_group,value,value_kind,total_length,partial
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',1.0733,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000013,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',1.1231499999999999,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000013,,,,,,,,,
SF,,4.0,,1.17325,04 62 02 8C A9 AA AA AA,sd_2A73E1CC/00000013,652.0,b'\xa9',SOC (BMS),%,Battery,67.6,numeric,,
SF,,5.0,,1.27315,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000013,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,1.3732499999999999,10 08 62 1E 3D 00 02 49,sd_2A73E1CC/00000013,7741.0,b'\x00\x02I',HV Battery current,A,Battery,-2.4,partial,8.0,True
SF,,4.0,,1.4731999999999998,04 62 2A 0B 63 AA AA AA,sd_2A73E1CC/00000013,10763.0,b'c',HV Battery temp (main value),°C,Battery,9.5,numeric,,
SF,,7.0,,1.57325,07 62 1E 0E 02 80 00 01,sd_2A73E1CC/00000013,7694.0,b'\x02\x80\x00\x01',HV Battery max temp and temp point,°C,Battery,10.0,numeric,,
SF,,4.0,,1.6732,04 62 74 48 01 AA AA AA,sd_2A73E1CC/00000013,29768.0,b'\x01',Car operation mode,logic,Technical,driving,enum,,
SF,,4.0,,2.1733,04 62 02 8C A9 AA AA AA,sd_2A73E1CC/00000013,652.0,b'\xa9',SOC (BMS),%,Battery,67.6,numeric,,
SF,,5.0,,2.2732,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000013,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,2.37325,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000013,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',3.07325,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000013,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',3.1232499999999996,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000013,,,,,,,,,
SF,,4.0,,3.1733499999999997,04 62 02 8C A9 AA AA AA,sd_2A73E1CC/00000013,652.0,b'\xa9',SOC (BMS),%,Battery,67.6,numeric,,
SF,,5.0,,3.2733,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000013,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,3.3733,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000013,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,3.4733,04 62 2A 0B 63 AA AA AA,sd_2A73E1CC/00000013,10763.0,b'c',HV Battery temp (main value),°C,Battery,9.5,numeric,,
SF,,7.0,,3.57335,07 62 1E 0E 02 80 00 01,sd_2A73E1CC/00000013,7694.0,b'\x02\x80\x00\x01',HV Battery max temp and temp point,°C,Battery,10.0,numeric,,
SF,,4.0,,3.6733,04 62 74 48 01 AA AA AA,sd_2A73E1CC/00000013,29768.0,b'\x01',Car operation mode,logic,Technical,driving,enum,,
SF,,4.0,,4.1734,04 62 02 8C A9 AA AA AA,sd_2A73E1CC/00000013,652.0,b'\xa9',SOC (BMS),%,Battery,67.6,numeric,,
SF,,5.0,,4.27335,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000013,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,4.373349999999999,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000013,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',5.07335,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000013,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',5.123349999999999,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000013,,,,,,,,,
SF,,4.0,,5.17345,04 62 02 8C A9 AA AA AA,sd_2A73E1CC/00000013,652.0,b'\xa9',SOC (BMS),%,Battery,67.6,numeric,,
SF,,5.0,,5.2734,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000013,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,5.3734,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000013,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,5.4734,04 62 2A 0B 63 AA AA AA,sd_2A73E1CC/00000013,10763.0,b'c',HV Battery temp (main value),°C,Battery,9.5,numeric,,
SF,,7.0,,5.5735,07 62 1E 0E 02 80 00 01,sd_2A73E1CC/00000013,7694.0,b'\x02\x80\x00\x01',HV Battery max temp and temp point,°C,Battery,10.0,numeric,,
SF,,4.0,,5.6734,04 62 74 48 01 AA AA AA,sd_2A73E1CC/00000013,29768.0,b'\x01',Car operation mode,logic,Technical,driving,enum,,
SF,,4.0,,6.1735,04 62 02 8C A9 AA AA AA,sd_2A73E1CC/00000013,652.0,b'\xa9',SOC (BMS),%,Battery,67.6,numeric,,
SF,,5.0,,6.2734499999999995,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000013,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,6.37345,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000013,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',7.0735,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000013,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',7.12345,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000013,,,,,,,,,
SF,,4.0,,7.17355,04 62 02 8C A9 AA AA AA,sd_2A73E1CC/00000013,652.0,b'\xa9',SOC (BMS),%,Battery,67.6,numeric,,
SF,,5.0,,7.2734499999999995,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000013,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
