kind,sid,length,raw_bytes,timestamp,raw_hex,session,pid,value_bytes,pid_name,pid_unit,pid_group,value,value_kind,total_length,partial
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',1.0407,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',1.09045,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,1.14065,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',1.5406,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',2.0406,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,2.14065,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',2.54085,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',3.0408,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',3.0906,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,3.1407499999999997,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',3.54085,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',4.04075,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,4.14075,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',4.54085,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',5.04085,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',5.0907,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,5.1408499999999995,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',5.5409999999999995,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',6.04085,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,6.1408499999999995,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',6.5409999999999995,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',7.04095,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',7.09115,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,7.140949999999999,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',7.5409999999999995,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',8.041,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,8.141,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',8.54105,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',9.041,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',9.09095,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,9.141,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',9.5411,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',10.0411,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,10.1411,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',10.54125,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',11.0411,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',11.091099999999999,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,11.14115,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',11.54125,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',12.0412,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,12.14115,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',12.5414,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',13.04125,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',13.091199999999999,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,13.14125,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',13.5414,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',14.0413,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,14.14135,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',14.541549999999999,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',15.0414,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',15.091349999999998,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,15.14135,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',15.541549999999999,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',16.0414,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,16.1414,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',16.54155,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',17.04155,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',17.09145,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,17.1415,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',17.5417,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',18.04155,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,18.14155,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',18.5417,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',19.04165,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',19.091549999999998,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,19.1416,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',19.5418,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',20.04165,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,20.1417,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',20.54185,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',21.0417,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',21.091649999999998,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,21.1417,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',21.541999999999998,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',22.0418,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,22.14175,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',22.54195,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',23.04185,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',23.091849999999997,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,23.1419,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',23.54195,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',24.0419,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,24.142049999999998,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',24.541999999999998,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',25.041999999999998,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',25.09225,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,25.141949999999998,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',25.54225,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',26.04205,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,26.142049999999998,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',26.54215,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',27.04215,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',27.09205,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,27.1421,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',27.54225,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',28.042199999999998,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,28.1422,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',28.54225,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',29.042199999999998,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',29.09215,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,29.1422,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',29.542399999999997,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',30.04225,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,30.142249999999997,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',30.542299999999997,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',31.04235,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',31.092299999999998,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,31.142349999999997,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',31.54245,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',32.0424,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,32.1424,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',32.5424,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',33.042449999999995,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',33.0924,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,33.14245,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',33.54255,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',34.04255,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,34.14255,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',34.54255,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',35.0426,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',35.092549999999996,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,35.1426,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',35.54265,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',36.04265,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,36.1426,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',36.54265,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',37.042699999999996,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',37.09265,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,37.142649999999996,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',37.542699999999996,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',38.04275,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
SF,,4.0,,38.14275,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000018,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',38.5428,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',39.042899999999996,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000018,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',39.092749999999995,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000018,,,,,,,,,
