kind,sid,length,raw_bytes,timestamp,raw_hex,session,pid,value_bytes,pid_name,pid_unit,pid_group,value,value_kind,total_length,partial
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',1.0626,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,1.1625999999999999,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,1.26265,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,1.3629499999999999,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,1.46265,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,1.5626499999999999,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,2.1626499999999997,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,2.26305,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,2.3627,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',3.06275,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,3.1630499999999997,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,3.26275,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,3.3627499999999997,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,3.4627499999999998,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,3.56275,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,4.1628,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,4.2627999999999995,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,4.3628,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',5.06285,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,5.16285,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,5.2629,05 62 1E 3B 05 C2 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc2',HV Battery voltage,V,Battery,368.5,numeric,,
FF,,,,5.3629,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,5.4628499999999995,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,5.5629,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,6.1629499999999995,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,6.26295,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,6.36295,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',7.063,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,7.1629499999999995,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,7.263,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,7.3629999999999995,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,7.463,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,7.563,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,8.163,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,8.26305,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,8.36305,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',9.0631,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,9.1631,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,9.2631,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,9.3631,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,9.46345,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,9.56315,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,10.1632,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,10.2632,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,10.3635,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',11.06325,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,11.1632,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,11.2636,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,11.363199999999999,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,11.463249999999999,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,11.5633,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,12.163599999999999,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,12.2633,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,12.363299999999999,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',13.063649999999999,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,13.16335,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,13.263349999999999,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,13.363349999999999,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,13.46335,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,13.5634,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,14.1634,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,14.263449999999999,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,14.363449999999998,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',15.0635,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,15.16345,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,15.263499999999999,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,15.363449999999998,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,15.46345,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,15.5635,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,16.1635,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,16.26355,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,16.36355,10 08 62 1E 3D 00 02 49,sd_2A73E1CC/00000012,7741.0,b'\x00\x02I',HV Battery current,A,Battery,-2.4,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',17.06355,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,17.16355,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,17.2636,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,17.363599999999998,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
SF,,4.0,,17.4636,04 62 2A 0B 62 AA AA AA,sd_2A73E1CC/00000012,10763.0,b'b',HV Battery temp (main value),°C,Battery,9.0,numeric,,
SF,,7.0,,17.56395,07 62 1E 0E 02 78 00 01,sd_2A73E1CC/00000012,7694.0,b'\x02x\x00\x01',HV Battery max temp and temp point,°C,Battery,9.875,numeric,,
SF,,4.0,,18.16365,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,18.26365,05 62 1E 3B 05 C1 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc1',HV Battery voltage,V,Battery,368.25,numeric,,
FF,,,,18.36365,10 08 62 1E 3D 00 02 48,sd_2A73E1CC/00000012,7741.0,b'\x00\x02H',HV Battery current,A,Battery,-4.96,partial,8.0,True
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',19.0637,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000012,,,,,,,,,
SF,,4.0,,19.16375,04 62 02 8C AA AA AA AA,sd_2A73E1CC/00000012,652.0,b'\xaa',SOC (BMS),%,Battery,68.0,numeric,,
SF,,5.0,,19.263749999999998,05 62 1E 3B 05 C2 AA AA,sd_2A73E1CC/00000012,7739.0,b'\x05\xc2',HV Battery voltage,V,Battery,368.5,numeric,,
