kind,sid,length,raw_bytes,timestamp,raw_hex,session,pid,value_bytes,pid_name,pid_unit,pid_group,value,value_kind,total_length,partial
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',1.0895,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000017,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',1.1395499999999998,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000017,,,,,,,,,
SF,,4.0,,1.1895,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
SF,,4.0,,2.18955,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',3.0896,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000017,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',3.1395999999999997,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000017,,,,,,,,,
SF,,4.0,,3.1896,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
SF,,4.0,,4.189649999999999,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',5.0897,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000017,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',5.1396999999999995,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000017,,,,,,,,,
SF,,4.0,,5.18975,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
SF,,4.0,,6.1898,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',7.089849999999999,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000017,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',7.13985,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000017,,,,,,,,,
SF,,4.0,,7.18985,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
SF,,4.0,,8.1899,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',9.09005,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000017,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',9.1405,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000017,,,,,,,,,
SF,,4.0,,9.19005,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
SF,,4.0,,10.19005,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
OTHER,80.0,6.0,b'\x06P\x03\x00\x1e\x01\xe5',11.0901,06 50 03 00 1E 01 E5 AA,sd_2A73E1CC/00000017,,,,,,,,,
OTHER,126.0,2.0,b'\x02~\x00',11.14015,02 7E 00 AA AA AA AA AA,sd_2A73E1CC/00000017,,,,,,,,,
SF,,4.0,,11.1901,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
SF,,4.0,,12.19015,04 62 02 8C A7 AA AA AA,sd_2A73E1CC/00000017,652.0,b'\xa7',SOC (BMS),%,Battery,66.8,numeric,,
