session,timestamp,kind,pid,pid_name,pid_unit,pid_group,value,value_kind,raw_hex
sd_2A73E1CC/00000034,43.705799999999996,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,48.105999999999995,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,48.256,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,48.406,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,48.556,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,48.705999999999996,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,53.1063,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,53.256299999999996,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,53.406299999999995,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,53.5563,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,53.70635,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,58.10655,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,58.2566,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,58.4066,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,58.556999999999995,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,58.706599999999995,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,63.106849999999994,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,63.25685,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,63.4069,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,63.5569,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,63.7069,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,68.10714999999999,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,68.25715,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,68.4072,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,68.5572,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,68.7072,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,73.10745,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,73.25744999999999,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,73.40745,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,73.55745,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,73.7075,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,78.10315,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,78.25314999999999,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,78.40315,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,78.55315,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,78.7032,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
